Customer Name,Contact Number,Address
"Al Maha Logistics & Services","+974 44123456","Building 24, Zone 61, Street 810, Al Ring Road, Doha, Qatar"
"Gulf Horizon Trading WLL","+974 55234567","Office 301, Marina Tower, Lusail, Qatar"
"Doha Supply Chain Solutions","+974 66345678","Plot 45, Street 2, Industrial Area, Doha, Qatar"
"Qatar National Energy Corp","+974 77456789","West Bay Commercial Complex, Corniche, Doha, Qatar"
"Pearl Oasis General Contracting","+974 33567890","Tower B, Floor 14, The Pearl, Qatar"
"Falcon Global Freight Systems","+971 50123456","Warehouse 12, Jebel Ali Free Zone, Dubai, UAE"
"Emirates Commercial Enterprises","+971 52234567","Al Nadd Tower, Sheikh Zayed Road, Dubai, UAE"
"Sharjah Industrial Logistics","+971 54345678","Street 15, Industrial Area 4, Sharjah, UAE"
"Apex Middle East Solutions","+974 50456789","C-Ring Road, Near Salwa Flyover, Doha, Qatar"
"United Gulf Distribution Co","+974 66567890","Building 8, Ring Road, Al Wakra, Qatar"
      
