sku_code,name,type,qty,serial_number,vendor_id,category,status
NX-3155-G9-6542Y-CM,Nutanix NX-3155 G9 Node (6542Y CPU),physical,10,SN-NX3155-G9-1001,Nutanix,Nodes,active
C-MEM-64GB-5600-CM,CM 64GB DDR5 5600MHz Memory Module,physical,50,SN-MEM64-5600-1001,Nutanix,Memory,active
C-NVM-7.68TB-B-CM,CM 7.68TB NVMe SSD,physical,30,SN-NVM768-B-1001,Nutanix,Storage,active
C-LOM-10G2D1BT-CM,CM Dual Port 10G LOM Card,physical,20,SN-LOM10G-1001,Nutanix,Network,active
C-NIC-25G2A2-Q-CM,CM Dual Port 25G NIC,physical,25,SN-NIC25G-1001,Nutanix,Network,active
C-PWR-4FC13C14-CM,CM Power Supply C13/C14,physical,40,SN-PWR4F-1001,Nutanix,Power,active
C-TPM-2.0-U-CM,CM TPM 2.0 Security Module,physical,15,SN-TPM20-1001,Nutanix,Security,active
NX-9151-G9-8562Y+-CM,Nutanix NX-9151 G9 Node (8562Y CPU),physical,5,SN-NX9151-G9-1001,Nutanix,Nodes,active
C-MEM-64GB-5600-S-CM,CM 64GB DDR5 5600MHz Slim Memory Module,physical,35,SN-MEM64-5600S-1001,Nutanix,Memory,active
C-GPU-RTXP6KBSE-96GB-CM,CM RTX P6KBSE 96GB GPU Card,physical,8,SN-GPURTX96-1001,Nutanix,GPU,active
C-NIC-100G2A2-Q-CM,CM Dual Port 100G NIC,physical,12,SN-NIC100G-1001,Nutanix,Network,active
C-TPM-2.0-U-A-CM,CM TPM 2.0 Security Module Rev A,physical,18,SN-TPM20A-1001,Nutanix,Security,active
NX-3155-G9-6548Y+-CM,Nutanix NX-3155 G9 Node (6548Y CPU),physical,6,SN-NX3155-6548-1001,Nutanix,Nodes,active
