sku_code,name,type,qty,serial_number,vendor_id,category,status
FG-100F,FortiGate-100F Firewall,physical,1,FG100FTK25011385,V-FORTINET,Firewall,active
FG-40F,FortiGate-40F Firewall,physical,1,FGT40FTK24083675,V-FORTINET,Firewall,active
FAP-231K-E,FortiAP 231K Access Point,physical,1,FP231K5N2509CDK6,V-FORTINET,Wireless,active
LIC-FG100F-BDL,FortiGate-100F Unified Threat Protection License,electronic,0,,V-FORTINET,License,active
LIC-FG40F-BDL,FortiGate-40F 1-Year UTP License,electronic,0,,V-FORTINET,License,active
AP-OUT-500,Outdoor Wi-Fi Access Point,physical,10,SN-APOUT-001,V-CISCO,Wireless,active
SW-MGD-24P,24-Port Managed Switch,physical,5,SN-SWMGD-002,V-HP,Networking,active
CBL-CAT6-10,CAT6 Ethernet Cable 10ft,physical,100,,V-GENERIC,Cables,active
LIC-ANYCONNECT,Cisco AnyConnect VPN License,electronic,0,,V-CISCO,License,active
SFP-SX-10G,10G SFP+ SX Transceiver Module,physical,20,SN-SFPSX-101,V-CISCO,Networking,active
