sku_code,name,type,vendor_id,category,status
SKU-1001,Wireless Keyboard,electronic,V-001,Electronics,active
SKU-1002,Ergonomic Mouse,electronic,V-001,Electronics,active
SKU-1003,Desk Organizer,physical,V-002,Office Supplies,active
SKU-1004,24-inch Monitor,electronic,V-003,Electronics,active
SKU-1005,Noise Cancelling Headphones,electronic,V-003,Audio,active
SKU-1006,Standing Desk,physical,V-004,Furniture,active
SKU-1007,Office Chair,physical,V-004,Furniture,inactive
SKU-1008,USB-C Hub,electronic,V-001,Electronics,active
SKU-1009,Webcam 1080p,electronic,V-002,Electronics,active
SKU-1010,Notebook A4,physical,V-005,Office Supplies,active
